iso,period,exports,imports,net,exports_sa,exports_sa3m,imports_sa,imports_sa3m,net_sa,net_sa3m,exports_12m,imports_12m,net_12m
CAN,201705,257919665.89883435,655489322.7403104,-397569656.8414761,263977774.07740486,268215071.34439042,665985443.7966628,657552090.0784818,-402007669.71925795,-389337018.7340914,,,
CAN,201706,277847344.9276044,680061501.3124784,-402214156.38487405,275357455.6883897,270418047.1308879,657134190.5372926,660830805.8248326,-381776734.8489029,-390412758.69394463,,,
CAN,201707,267734855.62333483,617559634.5160693,-349824778.89273447,281743967.84984463,273693065.87187976,662740160.1200176,661953264.8179909,-380996192.270173,-388260198.94611114,,,
CAN,201708,291969302.0409913,669675603.2440704,-377706301.2030791,281704752.001535,279602058.5132565,671518122.5377685,663797491.0650262,-389813370.5362335,-384195432.5517697,,,
CAN,201709,299533705.696148,654680397.9143794,-355146692.2182314,290661814.4305172,284703511.42729896,702192914.8917837,678817065.8498566,-411531100.4612665,-394113554.42255765,,,
CAN,201710,275968740.8360886,686939281.6848102,-410970540.84872156,279402562.7880696,283923043.073374,673645921.3000808,682452319.5765443,-394243358.5120112,-398529276.5031703,,,
CAN,201711,317606661.68368506,750955805.3234185,-433349143.63973343,295925393.28336245,288663256.8339831,694321036.9761325,690053291.0559989,-398395643.69277006,-401390034.2220158,,,
CAN,201712,310014202.59681135,753286926.1119964,-443272723.51518506,287042369.9177618,287456775.3297313,727792954.1944119,698586637.4902084,-440750584.2766501,-411129862.1604771,3364443269.203864,8076444478.283711,-4712001209.079847
CAN,201801,251004438.23374212,697969535.1705663,-446965096.9368242,275194995.61264527,286054252.93792313,701047385.4621229,707720458.8775557,-425852389.84947765,-421666205.9396326,3356735090.746589,8141371211.73537,-4784636120.98878
CAN,201802,269941995.5926836,650658682.361197,-380716686.7685134,287809725.27450395,283349030.2683037,704935639.0852855,711258659.5806068,-417125913.8107816,-427909629.3123031,3361593228.3028946,8180199474.172924,-4818606245.8700285
CAN,201803,333706722.192634,831020250.0637845,-497313527.8711505,312635471.4645058,291880064.1172183,736582003.954557,714188342.8339885,-423946532.49005115,-422308278.71677023,3407241952.3927717,8278706361.248503,-4871464408.855732
CAN,201804,293277705.36050177,687943038.5978949,-394665333.23739314,309775307.5457673,303406834.7615923,715288982.7175238,718935541.9191221,-405513675.1717565,-415528707.1575298,3446525340.6830597,8336239979.040976,-4889714638.357916
CAN,201805,323510851.8432436,694710803.7033981,-371199951.8601545,327456840.2685904,316622539.75962114,715000772.5298984,722290586.4006597,-387543932.261308,-405668046.64103854,3512116526.6274686,8375461460.004064,-4863344933.376595
CAN,201806,371010285.3384997,777194487.3935581,-406184202.0550584,364938619.4818084,334056922.4320554,761614069.2983736,730634608.1819319,-396675449.81656516,-396577685.74987644,3605279467.038364,8472594446.085143,-4867314979.04678
CAN,201807,298775846.2901303,699184412.3209486,-400408566.0308183,311979358.00659627,334791605.91899836,733776852.2367017,736797231.3549913,-421797494.23010546,-402005625.43599296,3636320457.705159,8554219223.890022,-4917898766.184863
CAN,201808,323550354.54146767,828901201.1446227,-505350846.603155,317976744.7350826,331631574.0744958,837805352.6713969,777732091.4021573,-519828607.9363142,-446100517.3276615,3667901510.2056355,8713444821.790575,-5045543311.584939
